,feature,importance,feature_type
301,max_20170819T082011_B02,1,max_B02
302,max_20170819T082011_B03,0,max_B03
303,max_20170819T082011_B04,2,max_B04
304,max_20170819T082011_B05,2,max_B05
305,max_20170819T082011_B06,1,max_B06
306,max_20170819T082011_B08,0,max_B08
307,max_20170819T082011_NDVI,7,max_NDVI
308,mean_20170101T082332_B02,12,mean_B02
309,mean_20170101T082332_B03,19,mean_B03
310,mean_20170101T082332_B04,10,mean_B04
311,mean_20170101T082332_B05,15,mean_B05
312,mean_20170101T082332_B06,6,mean_B06
313,mean_20170101T082332_B08,9,mean_B08
314,mean_20170101T082332_NDVI,20,mean_NDVI
315,mean_20170131T082151_B02,10,mean_B02
316,mean_20170131T082151_B03,14,mean_B03
317,mean_20170131T082151_B04,11,mean_B04
318,mean_20170131T082151_B05,11,mean_B05
319,mean_20170131T082151_B06,6,mean_B06
320,mean_20170131T082151_B08,3,mean_B08
321,mean_20170131T082151_NDVI,6,mean_NDVI
322,mean_20170210T082051_B02,5,mean_B02
323,mean_20170210T082051_B03,3,mean_B03
324,mean_20170210T082051_B04,1,mean_B04
325,mean_20170210T082051_B05,5,mean_B05
326,mean_20170210T082051_B06,11,mean_B06
327,mean_20170210T082051_B08,15,mean_B08
328,mean_20170210T082051_NDVI,1,mean_NDVI
329,mean_20170312T082001_B02,11,mean_B02
330,mean_20170312T082001_B03,26,mean_B03
331,mean_20170312T082001_B04,14,mean_B04
332,mean_20170312T082001_B05,9,mean_B05
333,mean_20170312T082001_B06,9,mean_B06
334,mean_20170312T082001_B08,2,mean_B08
335,mean_20170312T082001_NDVI,11,mean_NDVI
336,mean_20170322T081611_B02,17,mean_B02
337,mean_20170322T081611_B03,12,mean_B03
338,mean_20170322T081611_B04,3,mean_B04
339,mean_20170322T081611_B05,9,mean_B05
340,mean_20170322T081611_B06,24,mean_B06
341,mean_20170322T081611_B08,20,mean_B08
342,mean_20170322T081611_NDVI,15,mean_NDVI
343,mean_20170531T082011_B02,14,mean_B02
344,mean_20170531T082011_B03,8,mean_B03
345,mean_20170531T082011_B04,6,mean_B04
346,mean_20170531T082011_B05,3,mean_B05
347,mean_20170531T082011_B06,8,mean_B06
348,mean_20170531T082011_B08,9,mean_B08
349,mean_20170531T082011_NDVI,36,mean_NDVI
350,mean_20170620T082011_B02,8,mean_B02
351,mean_20170620T082011_B03,8,mean_B03
352,mean_20170620T082011_B04,3,mean_B04
353,mean_20170620T082011_B05,3,mean_B05
354,mean_20170620T082011_B06,11,mean_B06
355,mean_20170620T082011_B08,2,mean_B08
356,mean_20170620T082011_NDVI,22,mean_NDVI
357,mean_20170710T082011_B02,5,mean_B02
358,mean_20170710T082011_B03,3,mean_B03
359,mean_20170710T082011_B04,3,mean_B04
360,mean_20170710T082011_B05,2,mean_B05
361,mean_20170710T082011_B06,8,mean_B06
362,mean_20170710T082011_B08,4,mean_B08
363,mean_20170710T082011_NDVI,12,mean_NDVI
364,mean_20170715T081609_B02,3,mean_B02
365,mean_20170715T081609_B03,1,mean_B03
366,mean_20170715T081609_B04,0,mean_B04
367,mean_20170715T081609_B05,3,mean_B05
368,mean_20170715T081609_B06,4,mean_B06
369,mean_20170715T081609_B08,4,mean_B08
370,mean_20170715T081609_NDVI,28,mean_NDVI
371,mean_20170804T081559_B02,3,mean_B02
372,mean_20170804T081559_B03,2,mean_B03
373,mean_20170804T081559_B04,3,mean_B04
